,Pond.ID,AKAs,Year,Depth,RASY.Count.1,RASY.Count.2,Avg.RASY.Count,Area,Canopy,RASYdens,growthrate2,RASYdens_t2,gr_t2,totalSummerPrecip_mm,avgMaxSummerTemp_C,avgMinSummerTemp_C,avgMax_MinSummerTemp_C,summer_mm_t1,summer_mm_t2,WY.x,avgMaxTemp_C.x,days_thawed.x,avgMinTemp_C.x,avgMax_MinTemp_C.x,winter_mm_t2.x,winter_maxtemp_t1.x,spfaPDSI,spfaPDSIlag,sum,count,prop,min,max,avg,avg_dens,depth,wEggs
1,A10,A021800-010,2000,44,0,0,0,1500,66,0,NA,NA,NA,154.686,26.03046595,14.88351254,11.14695341,149.098,113.284,2000,9.352363413,157,-2.387968079,11.74033149,0,8.925518926,0.94,0.13,21,20,0.952380952,0,475,182.2857143,0.12152381,55.68421053,0
2,A10,A021800-010,2001,NA,105,116,110,1500,66,0.073333333,NA,NA,NA,176.53,28.25268817,15.69892473,12.55376344,154.686,149.098,2001,6.993284493,153,-3.788156288,10.78144078,581.66,9.352363413,-0.93,-0.534285714,21,20,0.952380952,0,475,182.2857143,0.12152381,55.68421053,0
3,A10,A021800-010,2002,34,82,81,81,1500,66,0.054,2.203359624,0,0.682360938,144.272,28.38041431,15.60263653,12.77777778,176.53,154.686,2002,10.85635359,176,-1.362799263,12.21915285,448.31,6.993284493,0.424285714,0.94,21,20,0.952380952,0,475,182.2857143,0.12152381,55.68421053,0
4,A10,A021800-010,2003,40,366,366,366,1500,66,0.244,0.597915823,0.070769071,-0.850334614,133.35,28.18996416,17.41039427,10.77956989,144.272,176.53,2003,6.004273504,137,-4.844322344,10.84859585,431.8,10.85635359,1.302857143,-0.93,21,20,0.952380952,0,475,182.2857143,0.12152381,55.68421053,0
5,A10,A021800-010,2004,48,303,337,320,1500,66,0.213333333,0.682360938,0.05259245,0.112505483,175.768,25.80498866,16.02040816,9.784580499,133.35,144.272,2004,6.869244936,148,-3.655616943,10.52486188,303.784,6.004273504,0.134285714,0.424285714,21,20,0.952380952,0,475,182.2857143,0.12152381,55.68421053,0
6,A10,A021800-010,2005,70,67,66,66,1500,66,0.044,-0.850334614,0.218331994,0.353981133,87.122,28.46994536,16.70309654,11.76684882,175.768,133.35,2005,6.830808081,142,-4.185606061,11.01641414,530.352,6.869244936,0.041428571,1.302857143,21,20,0.952380952,0,475,182.2857143,0.12152381,55.68421053,33.93629428
7,A10,A021800-010,2006,68,382,420,401,1500,66,0.267333333,0.112505483,0.193371393,-1.073152243,136.906,27.92843691,16.56308851,11.3653484,87.122,175.768,2006,8.482905983,157,-2.545787546,11.02869353,485.394,6.830808081,3.147142857,0.134285714,21,20,0.952380952,0,475,182.2857143,0.12152381,55.68421053,3.156864584
8,A10,A021800-010,2007,73,134,137,135,1500,66,0.09,0.353981133,0.043059489,-0.138962949,125.476,27.79599271,15.6284153,12.16757741,136.906,87.122,2007,8.443223443,155,-2.432844933,10.87606838,491.998,8.482905983,-1.39,0.041428571,21,20,0.952380952,0,475,182.2857143,0.12152381,55.68421053,0
9,A10,A021800-010,2008,70,46,46,46,1500,66,0.030666667,-1.073152243,0.236914955,0.272150776,157.48,27.58333333,15.97222222,11.61111111,125.476,136.906,2008,8.533697632,160,-2.143290832,10.67698846,718.566,8.443223443,2.171428571,3.147142857,21,20,0.952380952,0,475,182.2857143,0.12152381,55.68421053,0
10,A10,A021800-010,2009,42,104,100,102,1500,66,0.068,-0.138962949,0.086177696,0.059430601,291.338,27.1953405,16.69354839,10.50179211,157.48,125.476,2009,7.682539683,144,-3.857142857,11.53968254,617.22,8.533697632,1.68,-1.39,21,20,0.952380952,0,475,182.2857143,0.12152381,55.68421053,0
11,A10,A021800-010,2010,80,80,81,80,1500,66,0.053333333,0.272150776,0.030205842,0.170874647,159.258,29.01433692,16.69354839,12.32078853,291.338,157.48,2010,8.623321123,157,-1.184371184,9.807692308,607.314,7.682539683,-1.4,2.171428571,21,20,0.952380952,0,475,182.2857143,0.12152381,55.68421053,0
12,A10,A021800-010,2011,80,113,118,115,1500,66,0.076666667,0.059430601,0.065787741,0.401618935,401.066,28.57526882,16.87275986,11.70250896,159.258,291.338,2011,7.155067155,148,-4.13003663,11.28510379,420.624,8.623321123,1.992857143,1.68,21,20,0.952380952,0,475,182.2857143,0.12152381,55.68421053,0
13,A10,A021800-010,2012,77,108,118,113,1500,66,0.075333333,0.170874647,0.051959739,0.255412812,137.16,29.24731183,17.27598566,11.97132616,401.066,159.258,2012,11.2973138,172,-0.451770452,11.74908425,714.248,7.155067155,-1.994285714,-1.4,21,20,0.952380952,0,475,182.2857143,0.12152381,55.68421053,2.367648438
